"","highest_level_of_education","job_satisfaction","self_ascribed_social_class","financial_satisfaction","compare_financial_status_against_other_us_families"
"1993","Bachelors Degree","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"1994","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"1995","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"1996","Less Than High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"1997","Associate / Junior College","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"1998","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"1999","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2000","Graduate Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"2001","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Below Average"
"2002","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2003","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"2004","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"2005","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Average"
"2006","Bachelors Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2007","Less Than High School","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2008","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"2009","High School","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2010","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2011","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Above Average"
"2012","Less Than High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2013","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2014","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Average"
"2015","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Average"
"2016","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"2017","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"2018","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Average"
"2019","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"2020","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Above Average"
"2021","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"2022","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2023","Associate / Junior College","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2024","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"2025","Graduate Degree","Very Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2026","Graduate Degree","A Little Dissatisfied","Lower Class","Pretty Well Satisfied","Above Average"
"2027","High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2028","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2029","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2030","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"2031","High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2032","Bachelors Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"2033","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2034","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2035","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2036","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"2037","Associate / Junior College","Moderately Satisfied","Lower Class","Not Satisfied at All","Above Average"
"2038","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Above Average"
"2039","High School","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2040","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2041","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"2042","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"2043","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"2044","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Average"
"2045","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Average"
"2046","Graduate Degree","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2047","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"2048","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Below Average"
"2049","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2050","Bachelors Degree","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2051","Graduate Degree","Very Satisfied","Working Class","More or Less Satisfied","Average"
"2052","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"2053","High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2054","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Average"
"2055","Bachelors Degree","Very Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"2056","High School","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"2057","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2058","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"2059","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2060","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2061","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"2062","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2063","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Below Average"
"2064","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2065","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"2066","High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2067","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2068","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2069","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2070","Bachelors Degree","Very Satisfied","Working Class","More or Less Satisfied","Far Above Average"
"2071","Less Than High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2072","High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2073","Associate / Junior College","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"2074","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2075","Graduate Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Below Average"
"2076","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2077","High School","Moderately Satisfied","Working Class","More or Less Satisfied","Below Average"
"2078","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"2079","High School","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2080","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"2081","Bachelors Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2082","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2083","Graduate Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2084","High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2085","Associate / Junior College","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Below Average"
"2086","Bachelors Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2087","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2088","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Above Average"
"2089","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"2090","High School","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"2091","Bachelors Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2092","Less Than High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2093","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"2094","Associate / Junior College","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2095","High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"2096","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2097","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2098","Associate / Junior College","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"2099","High School","Very Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"2100","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2101","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"2102","Graduate Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"2103","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2104","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"2105","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2106","Less Than High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2107","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2108","Less Than High School","Very Dissatisfied","Middle Class","Not Satisfied at All","Far Above Average"
"2109","Graduate Degree","Very Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2110","High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2111","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2112","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"2113","Bachelors Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Average"
"2114","Associate / Junior College","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"2115","Associate / Junior College","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2116","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2117","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2118","Graduate Degree","Very Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2119","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"2120","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
"2121","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"2122","Less Than High School","Very Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2123","Associate / Junior College","Very Satisfied","Lower Class","Pretty Well Satisfied","Above Average"
"2124","Associate / Junior College","Very Satisfied","Working Class","More or Less Satisfied","Above Average"
"2125","High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"2126","Graduate Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"2127","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2128","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"2129","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2130","Associate / Junior College","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2131","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2132","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2133","High School","Very Satisfied","Working Class","Not Satisfied at All","Average"
"2134","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"2135","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"2136","High School","Very Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"2137","Associate / Junior College","Very Satisfied","Upper Class","Pretty Well Satisfied","Average"
"2138","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"2139","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"2140","Bachelors Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Below Average"
"2141","High School","Very Satisfied","Working Class","Not Satisfied at All","Below Average"
"2142","Associate / Junior College","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2143","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2144","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2145","Graduate Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"2146","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Below Average"
"2147","Associate / Junior College","Very Satisfied","Lower Class","More or Less Satisfied","Average"
"2148","Bachelors Degree","A Little Dissatisfied","Working Class","More or Less Satisfied","Above Average"
"2149","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"2150","Bachelors Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"2151","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2152","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2153","High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2154","Less Than High School","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2155","Less Than High School","Very Satisfied","Lower Class","Not Satisfied at All","Above Average"
"2156","Less Than High School","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"2157","Bachelors Degree","Moderately Satisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2158","Associate / Junior College","Moderately Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2159","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"2160","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"2161","High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2162","Graduate Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2163","Bachelors Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2164","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2165","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2166","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"2167","Associate / Junior College","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2168","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2169","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2170","Less Than High School","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2171","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"2172","Graduate Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2173","Less Than High School","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2174","Graduate Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Above Average"
"2175","High School","Moderately Satisfied","Working Class","More or Less Satisfied","Above Average"
"2176","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2177","Graduate Degree","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"2178","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2179","Graduate Degree","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2180","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2181","High School","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2182","Bachelors Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"2183","Associate / Junior College","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"2184","Associate / Junior College","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"2185","Associate / Junior College","Very Dissatisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2186","Associate / Junior College","A Little Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2187","Less Than High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2188","Less Than High School","Very Satisfied","Upper Class","Pretty Well Satisfied","Below Average"
"2189","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2190","Bachelors Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Below Average"
"2191","Associate / Junior College","Moderately Satisfied","Lower Class","Pretty Well Satisfied","Average"
"2192","Less Than High School","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2193","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Below Average"
"2194","Graduate Degree","A Little Dissatisfied","Lower Class","Not Satisfied at All","Average"
"2195","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2196","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2197","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2198","Graduate Degree","A Little Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2199","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"2200","Graduate Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2201","Bachelors Degree","Moderately Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"2202","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2203","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2204","Graduate Degree","Moderately Satisfied","Middle Class","Not Satisfied at All","Above Average"
"2205","Bachelors Degree","Very Dissatisfied","Lower Class","Not Satisfied at All","Far Above Average"
"2206","High School","Very Satisfied","Middle Class","Not Satisfied at All","Above Average"
"2207","Graduate Degree","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Below Average"
"2208","Bachelors Degree","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"2209","High School","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Above Average"
"2210","High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Average"
"2211","Graduate Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2212","High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2213","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2214","High School","Moderately Satisfied","Working Class","Not Satisfied at All","Above Average"
"2215","Associate / Junior College","Moderately Satisfied","Lower Class","More or Less Satisfied","Above Average"
"2216","Associate / Junior College","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2217","High School","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2218","Graduate Degree","Very Satisfied","Upper Class","More or Less Satisfied","Far Below Average"
"2219","Less Than High School","Very Dissatisfied","Working Class","More or Less Satisfied","Average"
"2220","Less Than High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"2221","Graduate Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Average"
"2222","Graduate Degree","Very Dissatisfied","Upper Class","Not Satisfied at All","Average"
"2223","Bachelors Degree","Moderately Satisfied","Working Class","Pretty Well Satisfied","Above Average"
"2224","Less Than High School","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Above Average"
"2225","Bachelors Degree","Very Dissatisfied","Middle Class","More or Less Satisfied","Far Below Average"
"2226","High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Below Average"
"2227","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"2228","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Average"
"2229","Graduate Degree","Moderately Satisfied","Working Class","Not Satisfied at All","Far Above Average"
"2230","High School","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2231","Bachelors Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2232","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"2233","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2234","Graduate Degree","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2235","Graduate Degree","Moderately Satisfied","Lower Class","Not Satisfied at All","Far Above Average"
"2236","Associate / Junior College","Moderately Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2237","Associate / Junior College","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2238","Graduate Degree","Very Satisfied","Lower Class","Not Satisfied at All","Average"
"2239","Graduate Degree","Very Satisfied","Lower Class","Pretty Well Satisfied","Below Average"
"2240","Less Than High School","Moderately Satisfied","Upper Class","Not Satisfied at All","Above Average"
"2241","Graduate Degree","Very Satisfied","Middle Class","More or Less Satisfied","Average"
"2242","High School","Very Satisfied","Working Class","Pretty Well Satisfied","Far Above Average"
"2243","High School","Very Satisfied","Working Class","More or Less Satisfied","Below Average"
"2244","High School","A Little Dissatisfied","Upper Class","More or Less Satisfied","Average"
"2245","Bachelors Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2246","Associate / Junior College","Very Dissatisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2247","Less Than High School","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2248","Bachelors Degree","Very Satisfied","Upper Class","Not Satisfied at All","Far Above Average"
"2249","Graduate Degree","Very Satisfied","Middle Class","Pretty Well Satisfied","Far Above Average"
"2250","Associate / Junior College","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2251","Less Than High School","Moderately Satisfied","Middle Class","Pretty Well Satisfied","Above Average"
"2252","Less Than High School","Moderately Satisfied","Middle Class","More or Less Satisfied","Average"
"2253","Associate / Junior College","Moderately Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2254","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Above Average"
"2255","High School","A Little Dissatisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2256","High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Average"
"2257","Associate / Junior College","A Little Dissatisfied","Middle Class","Pretty Well Satisfied","Average"
"2258","Associate / Junior College","A Little Dissatisfied","Working Class","Pretty Well Satisfied","Far Below Average"
"2259","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2260","High School","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2261","Bachelors Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Below Average"
"2262","Bachelors Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Far Below Average"
"2263","Associate / Junior College","Very Dissatisfied","Lower Class","More or Less Satisfied","Above Average"
"2264","High School","Very Satisfied","Lower Class","Not Satisfied at All","Far Below Average"
"2265","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"2266","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2267","Less Than High School","Very Satisfied","Upper Class","More or Less Satisfied","Average"
"2268","Graduate Degree","Moderately Satisfied","Working Class","More or Less Satisfied","Far Below Average"
"2269","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2270","Graduate Degree","A Little Dissatisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2271","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Average"
"2272","Bachelors Degree","Very Satisfied","Working Class","Not Satisfied at All","Far Below Average"
"2273","Bachelors Degree","A Little Dissatisfied","Upper Class","Not Satisfied at All","Above Average"
"2274","Less Than High School","Very Satisfied","Middle Class","Not Satisfied at All","Below Average"
"2275","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Below Average"
"2276","High School","Moderately Satisfied","Lower Class","Not Satisfied at All","Below Average"
"2277","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Far Above Average"
"2278","Less Than High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Above Average"
"2279","Graduate Degree","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Above Average"
"2280","Associate / Junior College","Moderately Satisfied","Working Class","Not Satisfied at All","Average"
"2281","Bachelors Degree","Very Satisfied","Lower Class","More or Less Satisfied","Below Average"
"2282","Associate / Junior College","A Little Dissatisfied","Working Class","More or Less Satisfied","Average"
"2283","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2284","Associate / Junior College","Moderately Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2285","Bachelors Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Average"
"2286","Less Than High School","Moderately Satisfied","Lower Class","More or Less Satisfied","Average"
"2287","Bachelors Degree","A Little Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"2288","High School","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Below Average"
"2289","Bachelors Degree","A Little Dissatisfied","Upper Class","More or Less Satisfied","Below Average"
"2290","High School","A Little Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"2291","Less Than High School","A Little Dissatisfied","Upper Class","Not Satisfied at All","Below Average"
"2292","High School","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Far Below Average"
"2293","Less Than High School","A Little Dissatisfied","Working Class","Not Satisfied at All","Below Average"
"2294","High School","Very Satisfied","Middle Class","More or Less Satisfied","Below Average"
"2295","Bachelors Degree","Very Dissatisfied","Lower Class","Pretty Well Satisfied","Below Average"
"2296","Associate / Junior College","Very Dissatisfied","Working Class","Not Satisfied at All","Far Below Average"
"2297","High School","Very Dissatisfied","Working Class","Pretty Well Satisfied","Below Average"
"2298","Less Than High School","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"2299","Bachelors Degree","Very Dissatisfied","Working Class","Not Satisfied at All","Above Average"
"2300","Graduate Degree","Very Dissatisfied","Working Class","More or Less Satisfied","Far Below Average"
"2301","High School","Very Satisfied","Middle Class","Not Satisfied at All","Average"
"2302","Graduate Degree","A Little Dissatisfied","Lower Class","More or Less Satisfied","Average"
"2303","High School","A Little Dissatisfied","Middle Class","Not Satisfied at All","Above Average"
"2304","Associate / Junior College","A Little Dissatisfied","Upper Class","Not Satisfied at All","Far Above Average"
"2305","Bachelors Degree","Very Satisfied","Middle Class","Not Satisfied at All","Far Below Average"
"2306","Bachelors Degree","Very Satisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
"2307","Bachelors Degree","Very Dissatisfied","Lower Class","More or Less Satisfied","Far Above Average"
"2308","Graduate Degree","A Little Dissatisfied","Middle Class","Not Satisfied at All","Average"
"2309","Associate / Junior College","Moderately Satisfied","Upper Class","More or Less Satisfied","Far Above Average"
"2310","Graduate Degree","Very Dissatisfied","Upper Class","Pretty Well Satisfied","Far Below Average"
